idCliente|NIF|Nombre|Apellido1|Apellido2|Sexo|Direccion|Municipio|Provincia|CP|Comunidad|Movil|Telefono|Correo|Nacimiento
1|8899616E|Adrián|Fernández|Rey|H|Plaza  Septentrional Verde 149, 5|Vitoria|Álava|1440|País Vasco|684 680 588|945 796 001|afernandez@correo.es|07/09/1974
2|43238429 Q|José|Hernández|Domínguez|H|Paseo de  Estratega Joven 57, 1º|Vitoria|Álava|1271|País Vasco|625265233||josehernandez@mail.net|20/09/1937
3|78747399|Julia|Romero|Tena|M|Avenida Ocasión 83, 1º 5ª|Vitoria|Álava|1606|País Vasco|671737062||juliaromero51@mail.es|28/02/1963
4|91929848k|Raquel|Puebla|Álvarez|M|Calle Trapezoide Prolijo 84, 3º|Vitoria|Álava|1205|País Vasco||945562191|raquel.puebla@correo.com|23/07/1981
5|24485203-R|Alberto|Gomis|Vázquez|H|Paseo Hemograma 233, 6|Almansa|Albacete|2552|Castilla La Mancha|||agomis@mail.es|04/04/1956
6|39375059W|Antonia|Nieto|Osuna|M|Avenida  Desahogo 231, 5º 2ª|Albacete|Albacete|2192|Castilla La Mancha|692 640 206||antnieto77@mail.net|13/03/1947
7|90807766-V|Juan|Rodríguez|Millán|H|Plaza  Preservación 246, 4º|Hellín|Albacete|2865|Castilla La Mancha|654999998|967609980|rodriguez87@correo.net|20/02/1988
8|67303411y|Laura|Pereira|Conde|M|Plaza Víscera Santa 16, 5|Albacete|Albacete|2520|Castilla La Mancha|607381915|967790452|laura.pereira@correo.es|26/04/1988
9|09153621N|Ana María|García|Mejía|M|Plaza el Neoclasicismo Mentiroso 144, 4º|Torrevieja|Alicante|3542|Valencia|620 930 815||anamariagarcia70@mail.net|20/02/1933
10|58807708-C|Inmaculada|Barrios|Sánchez|M|Calle Adjetivo 96, 4º 1ª|Elda|Alicante|3791|Valencia||968-228-001|inmaculadabarrios27@mail.es|30/06/1983
11|24940055M|Jesús|Márquez|Palacios|H|Plaza del Plancton 44, 5º 3ª|Santa Pola|Alicante|3777|Valencia|656012630|963296037|marquez35@correo.net|11/09/1973
12|93372286Z|Julián|Herrero|Valero|H|Paseo de la Precipitación Hermosa 254, 2º|San Juan de Alicante|Alicante|3648|Valencia|626965586|963138117|julherrero@email.net|08/04/1989
13|68078686C|Laura|Moreno|López|M|Plaza Bajorrelieve 42, 5º 2ª|Jávea|Alicante|3662|Valencia||969304047|laumoreno47@correo.es|10/11/1989
14|75158387E|María Amparo|Valdivieso|Cabrera|M|Calle el Comunicativo 35, 4|Orihuela|Alicante|3906|Valencia|609180727||mar.valdivieso@correo.com|12/01/1951
15|48683678S|María Teresa|Leiva|Cruz|M|Calle lo Irreversible 108, 6|Torrevieja|Alicante|3278|Valencia|||marileiva@mail.es|22/12/1939
16|16827993C|Rosa María|López|Caballero|M|Avenida de la Exigencia 175, 3|Torrevieja|Alicante|3848|Valencia|699961760||roslopez@mail.com|25/10/1936
17|91942883S|Fernando|Alonso|López|H|Plaza Fraternidad 57, 5|Vícar|Almería|4467|Andalucía|655-092-451||fernandoalonso@mail.es|25/12/1947
18|93345107K|Fernando|Dopico|Crespo|H|Plaza Nobiliario Amoroso 197, 3º 6ª|Almería|Almería|4095|Andalucía||950-402-927|fernandodopico6@email.com|26/02/1982
19|97978411K|María|Blanco|Gómez|M|Paseo Transitivo Difícil 279, 6º 3ª|Almería|Almería|4894|Andalucía|677419490||m.blanco@correo.net|03/01/1950
20|70525299P|Miguel|Rodríguez|Martínez|H|Avenida  Bario Cómico 41, 1|Almería|Almería|4038|Andalucía|614085372|950260106|migrodriguez13@correo.es|19/08/1992
